"genes","logFC","logCPM","PValue","FDR"
"MIR1567.1",12.4973577684939,3.4096691451326,2.44696059720957e-70,2.02247936691309e-69
"LOC112531963",7.00428246488486,5.16886044616541,2.45040176672758e-70,2.02409367751732e-69
"DCN",-7.43791723884965,4.7318059499713,2.45168398631742e-70,2.02409367751732e-69
"SLC5A11",6.366589277749,6.04943277456593,2.54515259515908e-70,2.1000742446674e-69
"ICE1",-12.6696187065924,3.55934361379324,2.54926548702582e-70,2.10228084435149e-69
"MIR7462",13.5418266477704,4.4452043143511,2.56324628896208e-70,2.1126180496674e-69
"SURF4",-7.34892963896951,7.0181013099871,2.76515128400433e-70,2.27774271212826e-69
"LOC107050006",5.88001959494299,5.79377452881644,2.83511112638445e-70,2.33405514872428e-69
"KCTD9",-12.68158373326,3.57131768256595,2.91170364230357e-70,2.39576156109133e-69
"C1H11ORF54",-8.25294335967819,5.94504621923181,2.95648936050207e-70,2.43124248874602e-69
"ACBD3",-7.96289230530738,4.05323580425301,3.03217683812206e-70,2.49208099749593e-69
"LOC101749223",-6.71365196359093,4.50270834428783,3.10070259265896e-70,2.54696835224988e-69
"GRK2",-9.01235292787442,3.34925258801589,3.10844026394492e-70,2.55188975151837e-69
"FAM104A",-8.65627405832119,3.54824703490569,3.13013509480221e-70,2.56825739137253e-69
"LOC112531170",13.8854862898426,4.7870322729836,3.18183847189072e-70,2.60921467955887e-69
"LOC112533334",7.37529325763427,4.95555878311308,3.30238390711745e-70,2.70654716964146e-69
"LOC112532471",7.56501332582628,5.15858867872519,3.35764982137612e-70,2.75029915021128e-69
"RPL38",-12.4761982704905,6.43983979209335,3.46490711007769e-70,2.83656513162831e-69
"CHIA",-6.98256871340091,9.95101465068145,3.68090381090048e-70,3.01170478100161e-69
"UCHL5",-12.4834120354781,3.37459773692985,3.90426093359966e-70,3.19266732079977e-69
"CA2",-7.78959944739332,4.55255805400901,3.93719678130484e-70,3.21779958418387e-69
"PTDSS1",-5.9224134062151,6.71643846120167,4.02733929361937e-70,3.28963158734823e-69
